id,s206_cl_dispensed,s208_dispprob,s209_dispprob_cas_padlk,s210_dispprob_tnk_vlv,s211_dispprob_stker_tag_paint,s212_nut,month_survey,year_survey,s009_country,s011_prgrm
,1,0,,,,,,2016,3,Zomba 5
,1,0,,,,,,2015,3,Zomba 5
,0,0,,,,,,2015,3,Zomba 5
,1,0,,,,,,2016,3,Zomba 5
,1,0,,,,,,2016,3,Zomba 5
,1,0,,,,,,2016,3,Zomba 5
,1,0,,,,,,2016,3,Zomba 5
,1,0,,,,,,2016,3,Zomba 5
,1,0,,,,,,2015,3,Zomba 5
,1,0,,,,,,2017,3,Zomba 5
,1,0,,,,,,2016,3,Zomba 5
,1,0,,,,,,2015,3,Zomba 5
,1,0,,,,,,2016,3,Zomba 5
,1,0,,,,,,2016,3,Zomba 5
,1,0,,,,,,2016,3,Zomba 5
,1,0,,,,,,2017,3,Zomba 5
,1,0,,,,,,2017,3,Zomba 5
,1,0,,,,,,2015,3,Zomba 5
,1,0,,,,,,2015,3,Zomba 5
,1,1,1,0,1,0,,2017,3,Zomba 5
,1,0,,,,,,2016,3,Zomba 5
,1,0,,,,,,2015,3,Zomba 5
,0,0,,,,,,2015,3,Zomba 5
,1,0,,,,,,2017,3,Zomba 5
,1,0,,,,,,2016,3,Zomba 5
,1,0,,,,,,2016,3,Zomba 5
,1,0,,,,,,2016,3,Zomba 5
,1,0,,,,,,2016,3,Zomba 5
,1,0,,,,,,2015,3,Zomba 5
,1,0,,,,,,2015,3,Zomba 5
,1,0,,,,,,2015,3,Zomba 5
,1,0,,,,,,2015,3,Zomba 5
,1,0,,,,,,2017,3,Zomba 5
,1,0,,,,,,2016,3,Zomba 5
,1,0,,,,,,2017,3,Zomba 5
,0,0,,,,,,2016,3,Zomba 5
,1,0,,,,,,2015,3,Zomba 5
,1,0,,,,,,2017,3,Zomba 5
,0,0,,,,,,2016,3,Zomba 5
,1,0,,,,,,2015,3,Zomba 5
,1,0,,,,,,2016,3,Zomba 5
,1,0,,,,,,2015,3,Zomba 5
,0,0,,,,,,2015,3,Zomba 5
,1,0,,,,,,2016,3,Zomba 5
,1,0,,,,,,2016,3,Zomba 5
,1,0,,,,,,2016,3,Zomba 5
,1,0,,,,,,2016,3,Zomba 5
,1,0,,,,,,2016,3,Zomba 5
,1,0,,,,,,2015,3,Zomba 5
,1,0,,,,,,2015,3,Zomba 5
,1,0,,,,,,2015,3,Zomba 5
,1,0,,,,,,2016,3,Zomba 5
,1,0,,,,,,2016,3,Zomba 5
,1,0,,,,,,2016,3,Zomba 5
,1,0,,,,,,2017,3,Zomba 5
,1,0,,,,,,2016,3,Zomba 5
,0,0,,,,,,2017,3,Zomba 5
,1,0,,,,,,2016,3,Zomba 5
,1,0,,,,,,2016,3,Zomba 5
,1,0,,,,,,2016,3,Zomba 5
,1,0,,,,,,2017,3,Zomba 5
,1,0,,,,,,2016,3,Zomba 5
,1,0,,,,,,2016,3,Zomba 5
,1,0,,,,,,2016,3,Zomba 5
,1,0,,,,,,2016,3,Zomba 5
,1,0,,,,,,2016,3,Zomba 5
,1,0,,,,,,2016,3,Zomba 5
,1,0,,,,,,2017,3,Zomba 5
,1,0,,,,,,2016,3,Zomba 5
,1,0,,,,,,2016,3,Zomba 5
,1,0,,,,,,2016,3,Zomba 5
,1,0,,,,,,2017,3,Zomba 5
,1,0,,,,,,2016,3,Zomba 5
,1,0,,,,,,2016,3,Zomba 5
,1,0,,,,,,2016,3,Zomba 5
,1,0,,,,,,2016,3,Zomba 5
,1,0,,,,,,2017,3,Zomba 5
,1,0,,,,,,2017,3,Zomba 5
,1,0,,,,,,2017,3,Zomba 5
,1,0,,,,,,2017,3,Zomba 5
,1,0,,,,,,2017,3,Zomba 5
,1,0,,,,,,2017,3,Zomba 5
,1,0,,,,,,2017,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2017,3,Zomba 6
,1,0,,,,,,2015,3,Zomba 6
,1,0,,,,,,2015,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2015,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2015,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2015,3,Zomba 6
,0,0,,,,,,2015,3,Zomba 6
,1,0,,,,,,2015,3,Zomba 6
,1,0,,,,,,2015,3,Zomba 6
,1,0,,,,,,2017,3,Zomba 6
,0,0,,,,,,2017,3,Zomba 6
,1,0,,,,,,2015,3,Zomba 6
,1,0,,,,,,2015,3,Zomba 6
,1,0,,,,,,2015,3,Zomba 6
,1,0,,,,,,2015,3,Zomba 6
,0,0,,,,,,2015,3,Zomba 6
,1,0,,,,,,2017,3,Zomba 6
,1,0,,,,,,2015,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2015,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2015,3,Zomba 6
,1,0,,,,,,2015,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2015,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2017,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2015,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,,0,,,,,,2015,3,Zomba 6
,1,0,,,,,,2015,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,,0,,,,,,2015,3,Zomba 6
,1,0,,,,,,2017,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2015,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2015,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2015,3,Zomba 6
,1,0,,,,,,2015,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2017,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,0,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2017,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,0,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2017,3,Zomba 6
,1,0,,,,,,2017,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2017,3,Zomba 6
,1,0,,,,,,2017,3,Zomba 6
,1,0,,,,,,2017,3,Zomba 6
,1,0,,,,,,2015,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,,0,,,,,,2015,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2017,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2017,3,Zomba 6
,1,0,,,,,,2015,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2015,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2015,3,Zomba 6
,1,0,,,,,,2017,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2015,3,Zomba 6
,1,0,,,,,,2015,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2017,3,Zomba 6
,1,0,,,,,,2017,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2015,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2017,3,Zomba 6
,1,0,,,,,,2015,3,Zomba 6
,1,0,,,,,,2015,3,Zomba 6
,1,0,,,,,,2015,3,Zomba 6
,1,0,,,,,,2017,3,Zomba 6
,1,0,,,,,,2017,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2015,3,Zomba 6
,0,0,,,,,,2015,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2015,3,Zomba 6
,1,0,,,,,,2015,3,Zomba 6
,1,0,,,,,,2015,3,Zomba 6
,1,0,,,,,,2017,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2017,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2015,3,Zomba 6
,1,0,,,,,,2017,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2015,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2015,3,Zomba 6
,1,0,,,,,,2015,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2017,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2015,3,Zomba 6
,1,0,,,,,,2015,3,Zomba 6
,1,0,,,,,,2015,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2017,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,1,0,0,1,0,,2016,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,0,0,,,,,,2017,3,Zomba 6
,0,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2017,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2017,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2017,3,Zomba 7
,1,0,,,,,,2017,3,Zomba 7
,1,0,,,,,,2017,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2017,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2017,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2017,3,Zomba 7
,1,0,,,,,,2017,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2017,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,0,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2017,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,0,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2017,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2017,3,Zomba 7
,0,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2017,3,Zomba 7
,1,0,,,,,,2017,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,0,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2017,3,Zomba 7
,1,0,,,,,,2017,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2017,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2017,3,Zomba 8
,1,0,,,,,,2016,3,Zomba 8
,1,0,,,,,,2017,3,Zomba 8
,1,0,,,,,,2016,3,Zomba 8
,1,0,,,,,,2016,3,Zomba 8
,1,0,,,,,,2016,3,Zomba 8
,1,0,,,,,,2017,3,Zomba 8
,1,0,,,,,,2016,3,Zomba 8
,1,0,,,,,,2016,3,Zomba 8
,1,0,,,,,,2016,3,Zomba 8
,1,0,,,,,,2016,3,Zomba 8
,0,0,,,,,,2016,3,Zomba 8
,1,0,,,,,,2017,3,Zomba 8
,1,0,,,,,,2016,3,Zomba 8
,1,0,,,,,,2017,3,Zomba 8
,1,0,,,,,,2016,3,Zomba 8
,1,0,,,,,,2016,3,Zomba 8
,1,0,,,,,,2016,3,Zomba 8
,1,0,,,,,,2017,3,Zomba 8
,1,0,,,,,,2016,3,Zomba 8
,1,0,,,,,,2016,3,Zomba 8
,1,0,,,,,,2016,3,Zomba 8
,1,0,,,,,,2016,3,Zomba 8
,1,0,,,,,,2016,3,Zomba 8
,1,0,,,,,,2016,3,Zomba 8
,1,0,,,,,,2016,3,Zomba 8
,1,0,,,,,,2017,3,Zomba 8
,,0,,,,,,2016,3,Zomba 8
,1,0,,,,,,2016,3,Zomba 8
,1,0,,,,,,2016,3,Zomba 8
,1,0,,,,,,2016,3,Zomba 8
,1,0,,,,,,2016,3,Zomba 8
,1,0,,,,,,2017,3,Zomba 8
,,0,,,,,,2016,3,Zomba 8
,1,0,,,,,,2016,3,Zomba 8
,1,0,,,,,,2016,3,Zomba 8
,1,0,,,,,,2016,3,Zomba 8
,1,0,,,,,,2017,3,Zomba 8
,0,0,,,,,,2016,3,Zomba 8
,1,0,,,,,,2017,3,Zomba 8
,1,0,,,,,,2016,3,Zomba 8
,1,0,,,,,,2016,3,Zomba 8
,1,0,,,,,,2016,3,Zomba 8
,1,0,,,,,,2016,3,Zomba 8
,1,0,,,,,,2016,3,Zomba 8
,1,0,,,,,,2017,3,Zomba 9
,1,0,,,,,,2017,3,Zomba 9
,1,0,,,,,,2017,3,Zomba 9
,1,0,,,,,,2017,3,Zomba 9
,1,0,,,,,,2017,3,Zomba 9
,1,0,,,,,,2017,3,Zomba 9
,1,0,,,,,,2017,3,Zomba 9
,1,0,,,,,,2017,3,Zomba 9
,1,0,,,,,,2017,3,Zomba 9
,1,1,1,0,0,0,,2017,3,Zomba 9
,1,0,,,,,,2017,3,Zomba 9
,1,0,,,,,,2017,3,Zomba 9
,1,0,,,,,,2017,3,Zomba 9
,1,0,,,,,,2017,3,Zomba 9
,1,0,,,,,,2017,3,Zomba 9
,1,0,,,,,,2014,3,Zomba 1
,1,0,,,,,,2015,3,Zomba 1
,1,0,,,,,,2014,3,Zomba 1
,1,0,,,,,,2015,3,Zomba 2
,1,0,,,,,,2012,3,Zomba 1
,1,0,,,,,,2014,3,Zomba 1
,1,0,,,,,,2016,3,Zomba 1
,1,0,,,,,,2015,3,Zomba 2
,1,0,,,,,,2014,3,Zomba 1
,1,0,,,,,,2014,3,Zomba 1
,1,0,,,,,,2015,3,Zomba 1
,1,0,,,,,,2014,3,Zomba 1
,1,0,,,,,,2015,3,Zomba 1
,1,0,,,,,,2014,3,Zomba 1
,1,0,,,,,,2015,3,Zomba 1
,1,0,,,,,,2015,3,Zomba 1
,1,0,,,,,,2014,3,Zomba 1
,1,0,,,,,,2016,3,Zomba 2
,1,0,,,,,,2014,3,Zomba 2
,1,0,,,,,,2015,3,Zomba 1
,1,0,,,,,,2014,3,Zomba 1
,1,0,,,,,,2015,3,Zomba 1
,0,0,,,,,,2015,3,Zomba 1
,1,0,,,,,,2015,3,Zomba 1
,1,0,,,,,,2014,3,Zomba 1
,1,0,,,,,,2015,3,Zomba 1
,1,0,,,,,,2014,3,Zomba 1
,1,0,,,,,,2015,3,Zomba 1
,1,0,,,,,,2014,3,Zomba 1
,1,1,0,1,,,,2015,3,Zomba 1
,1,0,,,,,,2014,3,Zomba 2
,1,1,0,1,,,,2015,3,Zomba 2
,1,0,,,,,,2015,3,Zomba 1
,1,0,,,,,,2014,3,Zomba 2
,1,0,,,,,,2014,3,Zomba 2
,1,1,0,0,0,0,,2015,3,Zomba 2
,1,0,,,,,,2014,3,Zomba 2
,1,0,,,,,,2015,3,Zomba 2
,1,0,,,,,,2015,3,Zomba 2
,1,0,,,,,,2015,3,Zomba 2
,1,0,,,,,,2015,3,Zomba 1
,1,0,,,,,,2015,3,Zomba 2
,1,0,,,,,,2014,3,Zomba 2
,1,0,,,,,,2016,3,Zomba 1
,1,0,,,,,,2015,3,Zomba 1
,1,0,,,,,,2014,3,Zomba 2
,1,0,,,,,,2015,3,Zomba 2
,1,1,1,,,,,2015,3,Zomba 2
,1,0,,,,,,2015,3,Zomba 2
,1,0,,,,,,2014,3,Zomba 2
,1,0,,,,,,2015,3,Zomba 2
,1,0,,,,,,2014,3,Zomba 2
,1,0,,,,,,2014,3,Zomba 2
,1,0,,,,,,2016,3,Zomba 1
,1,0,,,,,,2014,3,Zomba 2
,1,0,,,,,,2017,3,Zomba 2
,1,0,,,,,,2014,3,Zomba 2
,1,0,,,,,,2014,3,Zomba 2
,1,0,,,,,,2014,3,Zomba 2
,1,0,,,,,,2014,3,Zomba 1
,1,0,,,,,,2014,3,Zomba 2
,1,0,,,,,,2014,3,Zomba 2
,1,0,,,,,,2015,3,Zomba 1
,1,0,,,,,,2015,3,Zomba 3
,1,0,,,,,,2015,3,Zomba 3
,1,0,,,,,,2017,3,Zomba 3
,1,0,,,,,,2015,3,Zomba 3
,1,0,,,,,,2016,3,Zomba 3
,1,0,,,,,,2015,3,Zomba 3
,1,0,,,,,,2015,3,Zomba 3
,1,0,,,,,,2015,3,Zomba 3
,1,0,,,,,,2015,3,Zomba 3
,1,0,,,,,,2015,3,Zomba 3
,1,0,,,,,,2016,3,Zomba 3
,1,0,,,,,,2015,3,Zomba 3
,1,0,,,,,,2015,3,Zomba 3
,1,0,,,,,,2015,3,Zomba 3
,1,0,,,,,,2015,3,Zomba 3
,1,0,,,,,,2016,3,Zomba 3
,0,0,,,,,,2017,3,Zomba 3
,1,0,,,,,,2016,3,Zomba 3
,1,0,,,,,,2015,3,Zomba 3
,1,0,,,,,,2017,3,Zomba 3
,1,0,,,,,,2016,3,Zomba 3
,1,0,,,,,,2015,3,Zomba 3
,1,0,,,,,,2017,3,Zomba 3
,1,0,,,,,,2015,3,Zomba 3
,1,0,,,,,,2015,3,Zomba 3
,1,0,,,,,,2016,3,Zomba 3
,1,0,,,,,,2015,3,Zomba 3
,1,0,,,,,,2015,3,Zomba 3
,1,0,,,,,,2015,3,Zomba 3
,1,0,,,,,,2016,3,Zomba 4
,1,0,,,,,,2015,3,Zomba 4
,1,0,,,,,,2016,3,Zomba 4
,1,0,,,,,,2015,3,Zomba 4
,1,0,,,,,,2015,3,Zomba 4
,1,0,,,,,,2016,3,Zomba 4
,1,0,,,,,,2015,3,Zomba 4
,1,0,,,,,,2015,3,Zomba 4
,1,0,,,,,,2015,3,Zomba 4
,1,0,,,,,,2015,3,Zomba 4
,1,0,,,,,,2016,3,Zomba 4
,1,0,,,,,,2016,3,Zomba 4
,1,0,,,,,,2017,3,Zomba 4
,1,0,,,,,,2016,3,Zomba 4
,1,0,,,,,,2015,3,Zomba 4
,1,0,,,,,,2016,3,Zomba 4
,1,1,0,1,0,0,,2015,3,Zomba 4
,1,0,,,,,,2015,3,Zomba 4
,1,0,,,,,,2016,3,Zomba 4
,1,0,,,,,,2015,3,Zomba 4
,1,0,,,,,,2015,3,Zomba 4
,1,0,,,,,,2016,3,Zomba 4
,1,0,,,,,,2016,3,Zomba 4
,1,0,,,,,,2017,3,Zomba 4
,,0,,,,,,2015,3,Zomba 4
,1,0,,,,,,2015,3,Zomba 4
,1,0,,,,,,2017,3,Zomba 4
,1,0,,,,,,2015,3,Zomba 4
,1,0,,,,,,2016,3,Zomba 4
,0,0,,,,,,2016,3,Zomba 4
,1,0,,,,,,2016,3,Zomba 5
,1,0,,,,,,2017,3,Zomba 5
,1,0,,,,,,2017,3,Zomba 5
,1,0,,,,,,2016,3,Zomba 5
,1,0,,,,,,2015,3,Zomba 5
,1,0,,,,,,2016,3,Zomba 5
,1,0,,,,,,2016,3,Zomba 5
,1,0,,,,,,2017,3,Zomba 5
,1,0,,,,,,2016,3,Zomba 5
,1,0,,,,,,2016,3,Zomba 5
,1,0,,,,,,2016,3,Zomba 5
,,0,,,,,,2015,3,Zomba 5
,1,0,,,,,,2017,3,Zomba 5
,1,0,,,,,,2015,3,Zomba 5
,1,0,,,,,,2017,3,Zomba 5
,1,0,,,,,,2017,3,Zomba 5
,1,0,,,,,,2016,3,Zomba 5
,1,0,,,,,,2015,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2017,3,Zomba 6
,1,0,,,,,,2017,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,,0,,,,,,2015,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2015,3,Zomba 6
,0,0,,,,,,2015,3,Zomba 6
,1,0,,,,,,2017,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2015,3,Zomba 6
,1,0,,,,,,2015,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2017,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 6
,1,0,,,,,,2017,3,Zomba 6
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2017,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2017,3,Zomba 7
,1,0,,,,,,2017,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2017,3,Zomba 7
,1,0,,,,,,2016,3,Zomba 7
,1,0,,,,,,2016,Kenya,Zomba 8
,1,1,0,1,0,0,,2015,3,Zomba 3
,1,0,,,,,,2017,3,Zomba 3
,1,0,,,,,,2016,3,Zomba 3
,1,0,,,,,,2015,3,Zomba 3
,1,0,,,,,,2017,3,Zomba 3
,1,0,,,,,,2016,3,Zomba 3
,1,0,,,,,,2015,3,Zomba 3
,1,0,,,,,,2016,3,Zomba 3
,1,0,,,,,,2017,3,Zomba 3
,1,0,,,,,,2015,3,Zomba 3
,1,0,,,,,,2017,3,Zomba 3
,1,0,,,,,,2016,3,Zomba 3
,1,0,,,,,,2015,3,Zomba 3
,1,0,,,,,,2017,3,Zomba 3
,1,0,,,,,,2016,3,Zomba 3
,1,0,,,,,,2015,3,Zomba 3
,0,0,,,,,,2017,3,Zomba 3
,1,0,,,,,,2016,3,Zomba 3
,1,0,,,,,,2015,3,Zomba 3
,1,0,,,,,,2017,3,Zomba 3
,1,0,,,,,,2016,3,Zomba 3
,1,0,,,,,,2015,3,Zomba 3
,1,0,,,,,,2017,3,Zomba 3
,0,0,,,,,,2016,3,Zomba 3
,1,0,,,,,,2015,3,Zomba 3
,1,0,,,,,,2016,3,Zomba 3
,1,0,,,,,,2017,3,Zomba 3
,1,0,,,,,,2015,3,Zomba 3
,1,0,,,,,,2017,3,Zomba 3
,1,0,,,,,,2016,3,Zomba 3
,1,0,,,,,,2016,3,Zomba 3
,1,0,,,,,,2015,3,Zomba 3
,1,0,,,,,,2017,3,Zomba 3
,1,0,,,,,,2016,3,Zomba 3
,1,0,,,,,,2015,3,Zomba 3
,1,0,,,,,,2017,3,Zomba 3
,0,0,,,,,,2016,3,Zomba 3
,1,0,,,,,,2015,3,Zomba 3
,1,0,,,,,,2017,3,Zomba 3
,0,0,,,,,,2016,3,Zomba 3
,1,0,,,,,,2015,3,Zomba 3
,1,0,,,,,,2016,3,Zomba 3
,0,0,,,,,,2015,3,Zomba 3
,1,0,,,,,,2017,3,Zomba 3
,1,0,,,,,,2016,3,Zomba 3
,1,0,,,,,,2017,3,Zomba 3
,1,0,,,,,,2015,3,Zomba 3
,1,0,,,,,,2016,3,Zomba 3
,1,0,,,,,,2017,3,Zomba 3
,1,0,,,,,,2016,3,Zomba 3
,1,0,,,,,,2015,3,Zomba 3
,1,0,,,,,,2016,3,Zomba 3
,1,0,,,,,,2017,3,Zomba 3
,1,0,,,,,,2015,3,Zomba 3
,0,1,0,1,,,,2017,3,Zomba 3
,0,1,0,1,,,,2016,3,Zomba 3
,1,0,,,,,,2015,3,Zomba 3
,1,0,,,,,,2016,3,Zomba 3
,1,0,,,,,,2017,3,Zomba 3
