id,s206_cl_dispensed,s208_dispprob,s209_dispprob_cas_padlk,s210_dispprob_tnk_vlv,s211_dispprob_stker_tag_paint,s212_nut,month,year,country,program
,1,0,,,,,10,2014,2,Mbale
,1,1,0,1,0,0,10,2014,2,Kibuku 4
,1,0,,,,,10,2014,2,Manafwa
,1,0,,,,,10,2014,2,Manafwa
,1,0,,,,,10,2014,2,Manafwa
,1,0,,,,,10,2014,2,Manafwa
,1,0,,,,,10,2014,2,Manafwa
,1,0,,,,,10,2014,2,Kibuku 3
,1,0,,,,,10,2014,2,Manafwa
,1,1,1,0,0,0,10,2014,2,Kibuku 4
,1,0,,,,,10,2014,2,Manafwa
,1,0,,,,,10,2014,2,Manafwa
,1,1,0,1,0,0,10,2014,2,Kibuku 3
,,1,1,0,0,0,10,2014,2,Kibuku 3
,1,0,,,,,10,2014,2,Manafwa
,,0,,,,,10,2014,2,Mbale
,1,0,,,,,10,2014,2,Manafwa
,1,0,,,,,10,2014,2,Manafwa
,1,0,,,,,10,2014,2,Manafwa
,1,0,,,,,10,2014,2,Manafwa
,1,0,,,,,10,2014,2,Manafwa
,1,0,,,,,10,2014,2,Mbale
,1,0,,,,,10,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Kibuku 3
,1,0,,,,,9,2014,2,Kibuku 3
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,1,1,0,0,0,9,2014,2,Kibuku 4
,1,1,0,1,0,0,9,2014,2,Kibuku 4
,1,1,1,0,0,0,9,2014,2,Kibuku 4
,1,1,0,1,0,0,9,2014,2,Kibuku 4
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Kibuku 3
,1,1,0,0,1,0,9,2014,2,Kibuku 3
,,,,,,,9,2014,2,Kibuku 3
,1,1,0,0,1,0,9,2014,2,Kibuku 3
,1,1,0,0,0,0,9,2014,2,Kibuku 3
,1,0,,,,,9,2014,2,Kibuku 3
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Kibuku 3
,1,1,0,1,0,0,9,2014,2,Kibuku 3
,1,1,0,1,0,0,9,2014,2,Kibuku 3
,1,1,1,0,0,0,9,2014,2,Kibuku 3
,1,1,0,1,0,0,9,2014,2,Kibuku 3
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,1,0,1,0,0,9,2014,2,Kibuku 4
,1,0,,,,,9,2014,2,Manafwa
,1,1,0,1,0,0,9,2014,2,Kibuku 3
,1,1,0,0,0,0,9,2014,2,Kibuku 3
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,1,0,1,0,0,9,2014,2,Kibuku 4
,1,1,0,0,1,0,9,2014,2,Kibuku 3
,1,1,1,0,0,0,9,2014,2,Kibuku 4
,1,1,1,0,0,0,9,2014,2,Kibuku 4
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,0,1,0,1,0,0,9,2014,2,Manafwa
,1,1,1,0,0,0,9,2014,2,Kibuku 3
,1,0,,,,,9,2014,2,Kibuku 3
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,1,1,0,0,0,9,2014,2,Kibuku 3
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,,1,0,1,0,0,9,2014,2,Manafwa
,,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,1,0,0,1,0,9,2014,2,Kibuku 3
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Kibuku 4
,1,0,,,,,9,2014,2,Manafwa
,1,1,0,1,0,0,9,2014,2,Kibuku 4
,1,1,0,0,0,0,9,2014,2,Kibuku 4
,1,1,1,1,0,0,9,2014,2,Kibuku 3
,1,1,1,0,0,0,9,2014,2,Kibuku 3
,1,1,0,0,1,0,9,2014,2,Kibuku 3
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,1,0,1,0,0,9,2014,2,Kibuku 3
,1,1,0,0,0,0,9,2014,2,Kibuku 3
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,1,1,1,0,0,9,2014,2,Kibuku 4
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Kibuku 3
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
,1,0,,,,,9,2014,2,Manafwa
