ID,s206_cl_dispensed,s208_dispprob,s209_dispprob_cas_padlk,s210_dispprob_tnk_vlv,s211_dispprob_stker_tag_paint,s212_nut,month,year,s009_country,s011_prgrm
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,Yes,No,No,Yes,No,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,Yes,No,No,Yes,No,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,Yes,No,No,Yes,No,5,2014,2,MFW
,Yes,Yes,No,No,Yes,No,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,Yes,No,No,Yes,No,5,2014,2,MFW
,.s,Yes,Yes,Yes,Yes,No,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,Yes,No,No,Yes,No,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,Yes,No,Yes,No,No,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,.s,Yes,No,No,No,No,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,Yes,No,No,Yes,No,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,.s,Yes,No,Yes,Yes,No,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,.s,No,,,,,5,2014,2,MFW
,Yes,Yes,No,No,Yes,No,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,.s,Yes,No,No,Yes,No,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,Yes,Yes,No,Yes,No,5,2014,2,MFW
,Yes,Yes,No,No,Yes,No,5,2014,2,MFW
,Yes,Yes,No,No,Yes,No,5,2014,2,MFW
,Yes,Yes,No,No,Yes,No,5,2014,2,MFW
,Yes,Yes,No,No,Yes,No,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,Yes,No,No,Yes,No,5,2014,2,MFW
,Yes,Yes,No,No,Yes,No,5,2014,2,MFW
,Yes,Yes,No,No,Yes,No,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,Yes,No,No,Yes,No,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,Yes,No,No,Yes,No,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,Yes,No,No,Yes,No,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,Yes,No,No,Yes,No,5,2014,2,MFW
,Yes,Yes,No,No,Yes,No,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
,Yes,No,,,,,5,2014,2,MFW
